保険者番号,独自サービス種類コード,独自サービス項目コード,適用開始年月,適用終了年月,独自サービス名称,単位数,算定単位,制限日数回数,算定回数制限期間,支給限度額対象区分,予備項目,給付率,利用者負担額,事業対象者実施区分,要支援１受給者実施区分,要支援２受給者実施区分,要介護１受給者実施区分,要介護２受給者実施区分,要介護３受給者実施区分,要介護４受給者実施区分,要介護５受給者実施区分,国保連合会委託区分,作成年月日
122374,A2,6389,202406,202503,訪問型独自サービス処遇改善加算Ⅴ９,142,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6390,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１０,139,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6391,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１１,121,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6392,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１２,118,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6393,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１３,100,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6394,202406,202503,訪問型独自サービス処遇改善加算Ⅴ１４,76,3,,,,,,,2,2,2,,,,,,1,20240601
122374,A2,6269,201704,202405,訪問型独自サービス処遇改善加算Ⅰ,137,3,,,,,,,2,2,2,,,,,,1,20170401
122374,A2,6270,201602,201703,訪問型独自サービス処遇改善加算Ⅰ　　　　　　　　　　　　　　　　,86,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,6270,201704,202405,訪問型独自サービス処遇改善加算Ⅱ,100,3,,,,,,,2,2,2,,,,,,1,20170401
122374,A2,6271,201602,201703,訪問型独自サービス処遇改善加算Ⅱ　　　　　　　　　　　　　　　　,48,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,6271,201704,202405,訪問型独自サービス処遇改善加算Ⅲ,55,3,,,,,,,2,2,2,,,,,,1,20170401
122374,A2,6273,201602,201703,訪問型独自サービス処遇改善加算Ⅲ　　　　　　　　　　　　　　　　,48,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,6273,201704,202203,訪問型独自サービス処遇改善加算Ⅳ,55,3,,,,,,,2,2,2,,,,,,1,20170401
122374,A2,6275,201602,201703,訪問型独自サービス処遇改善加算Ⅳ　　　　　　　　　　　　　　　　,48,3,,,,,,,2,2,2,,,,,,1,20160201
122374,A2,6275,201704,202203,訪問型独自サービス処遇改善加算Ⅴ,55,3,,,,,,,2,2,2,,,,,,1,20170401
122374,A2,6278,201910,202405,訪問型独自サービス特定処遇改善加算Ⅰ,63,3,,,,,,,2,2,2,,,,,,1,20191001
122374,A2,6279,201910,202405,訪問型独自サービス特定処遇改善加算Ⅱ,42,3,,,,,,,2,2,2,,,,,,1,20191001
122374,A2,6281,202210,202405,訪問型独自サービスベースアップ等支援加算,24,3,,,,,,,2,2,2,,,,,,1,20221001
122374,A2,8310,202104,202109,訪問型独自サービス令和３年９月３０日までの上乗せ分,1,3,,,3,,,,2,2,2,,,,,,1,20210401
122374,A6,1111,202404,999999,通所型独自サービス１１,1798,3,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,1111,202104,202403,通所型独自サービス１,1672,3,,,3,,,,2,2,1,,,,,,1,20210401
122374,A6,1111,201910,202103,通所型独自サービス１,1655,3,,,3,,,,2,2,1,,,,,,1,20191001
122374,A6,1111,201602,201909,通所型独自サービス１,1647,3,,,3,,,,2,2,1,,,,,,1,20160201
122374,A6,1112,202404,999999,通所型独自サービス１１日割,59,2,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,1112,202104,202403,通所型独自サービス１日割,55,2,,,3,,,,2,2,1,,,,,,1,20210401
122374,A6,1112,201602,202103,通所型独自サービス１日割,54,2,,,3,,,,2,2,1,,,,,,1,20160201
122374,A6,1221,202404,999999,通所型独自サービス/２１２,1798,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,1221,202104,202403,通所型独自サービス/２２,1672,3,,,3,,,,1,1,2,,,,,,1,20210401
122374,A6,1221,201910,202103,通所型独自サービス/２２,1655,3,,,3,,,,1,1,2,,,,,,1,20191001
122374,A6,1221,201805,201909,通所型独自サービス/２２,1647,3,,,3,,,,1,1,2,,,,,,1,20180501
122374,A6,1222,202404,999999,通所型独自サービス/２１２日割,59,2,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,1222,202104,202403,通所型独自サービス/２２日割,55,2,,,3,,,,1,1,2,,,,,,1,20210401
122374,A6,1222,201805,202103,通所型独自サービス/２２日割,54,2,,,3,,,,1,1,2,,,,,,1,20180501
122374,A6,1121,202404,999999,通所型独自サービス１２,3621,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,1121,202104,202403,通所型独自サービス２,3428,3,,,3,,,,2,1,2,,,,,,1,20210401
122374,A6,1121,201910,202103,通所型独自サービス２,3393,3,,,3,,,,2,1,2,,,,,,1,20191001
122374,A6,1121,201602,201909,通所型独自サービス２,3377,3,,,3,,,,2,1,2,,,,,,1,20160201
122374,A6,1122,202404,999999,通所型独自サービス１２日割,119,2,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,1122,202104,202403,通所型独自サービス２日割,113,2,,,3,,,,2,1,2,,,,,,1,20210401
122374,A6,1122,201910,202103,通所型独自サービス２日割,112,2,,,3,,,,2,1,2,,,,,,1,20191001
122374,A6,1122,201602,201909,通所型独自サービス２日割,111,2,,,3,,,,2,1,2,,,,,,1,20160201
122374,A6,1113,202404,999999,通所型独自サービス２１,436,1,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,1123,202404,999999,通所型独自サービス２２,447,1,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,C211,202404,999999,通所型独自高齢者虐待防止措置未実施減算１１,-18,3,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,C212,202404,999999,通所型独自高齢者虐待防止措置未実施減算１１日割,-1,2,,,3,,,,2,2,1,,,,,,1,20240401
122374,A6,C223,202404,999999,通所型独自高齢者虐待防止措置未実施減算/２１２,-18,3,,,3,,,,1,1,2,,,,,,1,20240401
122374,A6,C224,202404,999999,通所型独自高齢者虐待防止措置未実施減算/２１２日割,-1,2,,,3,,,,1,1,2,,,,,,1,20240401
